Rank|Id|Name of Smell|Name|File|Severity|Reason for Prioritization
1|4|High Cyclomatic Complexity|src.simapy.sima.windturbine.iecwindtype.IECWindType|../test_projects/simapy/src/simapy/sima/windturbine/iecwindtype.py|HIGH|Method 'label' has cyclomatic complexity of 11
2|1|High Cyclomatic Complexity|src.simapy.sima.riflex.iec2005windturbineclass.IEC2005WindTurbineClass|../test_projects/simapy/src/simapy/sima/riflex/iec2005windturbineclass.py|HIGH|Method 'label' has cyclomatic complexity of 12
3|3|High Cyclomatic Complexity|src.simapy.sima.post.sncurvetype.SNCurveType|../test_projects/simapy/src/simapy/sima/post/sncurvetype.py|HIGH|Method 'label' has cyclomatic complexity of 34
4|2|High Cyclomatic Complexity|src.simapy.sima.riflex.staticloadtype.StaticLoadType|../test_projects/simapy/src/simapy/sima/riflex/staticloadtype.py|HIGH|Method 'label' has cyclomatic complexity of 20 [USER NOTE: Agree with this smell. In later versions of Python then we based on originally there is now match, that can be used.]
5|24|Cyclic Dependency|riflex.arline|../test_projects/simapy/src/simapy/sima/riflex/arline.py|MEDIUM|Strong cyclic dependency detected: riflex.arline -> riflex.supernode -> riflex.arline Cycle strength: 2 mutual dependencies
6|22|Cyclic Dependency|simo.controlsystem|../test_projects/simapy/src/simapy/sima/simo/controlsystem.py|MEDIUM|Strong cyclic dependency detected: simo.controlsystem -> simo.simobody -> simo.controlsystem Cycle strength: 2 mutual dependencies [USER NOTE: This is part of the datamodel which is mainly generated for java. Cyclic dependency is not a big issue in java, while in Python it is a bit tricky to work with type hints with cyclic dependencies.]
7|23|Cyclic Dependency|simo.momentcoupling|../test_projects/simapy/src/simapy/sima/simo/momentcoupling.py|MEDIUM|Strong cyclic dependency detected: simo.momentcoupling -> simo.simobody -> simo.horizontalaxiswindturbine -> simo.momentcoupling Cycle strength: 3 mutual dependencies
8|20|Cyclic Dependency|simo.bodyresult|../test_projects/simapy/src/simapy/sima/simo/bodyresult.py|MEDIUM|Strong cyclic dependency detected: simo.bodyresult -> simo.positioningelementresult -> simo.bodyresult Cycle strength: 2 mutual dependencies
9|21|Cyclic Dependency|simo.verticalaxiswindturbine|../test_projects/simapy/src/simapy/sima/simo/verticalaxiswindturbine.py|MEDIUM|Strong cyclic dependency detected: simo.verticalaxiswindturbine -> simo.momentcoupling -> simo.simobody -> simo.verticalaxiswindturbine Cycle strength: 3 mutual dependencies
10|18|Feature Envy|test_different_copies|../test_projects/simapy/src/tests/test_copy.py|LOW|Method 'test_different_copies' makes 6 calls to 'simo' but only 0 local calls in ../test_projects/simapy/src/tests/test_copy.py [USER NOTE: False positive]
11|19|Feature Envy|test_hydro_creation|../test_projects/simapy/src/tests/test_hydro.py|MEDIUM|Method 'test_hydro_creation' makes 5 calls to 'hydro' but only 0 local calls in ../test_projects/simapy/src/tests/test_hydro.py [USER NOTE: This one is a false positive. This is a test so it is the purpose to call out ;)]
12|15|Large Class|RIFLEXModel|../test_projects/simapy/src/simapy/sima/riflex/riflexmodel.py|MEDIUM|'RIFLEXModel' has 23 non-trivial methods in ../test_projects/simapy/src/simapy/sima/riflex/riflexmodel.py [USER NOTE: Autogenerated]
13|16|Large Class|SIMOBody|../test_projects/simapy/src/simapy/sima/simo/simobody.py|HIGH|'SIMOBody' has 22 non-trivial methods in ../test_projects/simapy/src/simapy/sima/simo/simobody.py [USER NOTE: This is autogenerated code, so it is a bit difficult to fix, but it is a really big model..]
14|14|Large Class|SlenderSystem|../test_projects/simapy/src/simapy/sima/riflex/slendersystem.py|MEDIUM|'SlenderSystem' has 28 non-trivial methods in ../test_projects/simapy/src/simapy/sima/riflex/slendersystem.py
15|17|Large Class|SIMOModel|../test_projects/simapy/src/simapy/sima/simo/simomodel.py|MEDIUM|'SIMOModel' has 17 non-trivial methods in ../test_projects/simapy/src/simapy/sima/simo/simomodel.py
16|7|Long File|src.simapy.sima.riflex.__init__|../test_projects/simapy/src/simapy/sima/riflex/__init__.py|LOW|File 'src.simapy.sima.riflex.__init__' has 342 meaningful lines of code [USER NOTE: Not a big issue if the code itself is relatively simple. In simapy most of the classes only hold data, and provide getters and setters.]
17|10|Long File|src.simapy.sima.riflex.doublesymmetriccrosssection|../test_projects/simapy/src/simapy/sima/riflex/doublesymmetriccrosssection.py|LOW|File 'src.simapy.sima.riflex.doublesymmetriccrosssection' has 310 meaningful lines of code
18|5|Long File|src.simapy.sima.riflex.thinwalledpipe|../test_projects/simapy/src/simapy/sima/riflex/thinwalledpipe.py|LOW|File 'src.simapy.sima.riflex.thinwalledpipe' has 260 meaningful lines of code
19|8|Long File|src.simapy.sima.riflex.axisymmetriccrosssection|../test_projects/simapy/src/simapy/sima/riflex/axisymmetriccrosssection.py|LOW|File 'src.simapy.sima.riflex.axisymmetriccrosssection' has 315 meaningful lines of code
20|13|Long File|src.simapy.sima.simo.simobody|../test_projects/simapy/src/simapy/sima/simo/simobody.py|LOW|File 'src.simapy.sima.simo.simobody' has 324 meaningful lines of code
21|9|Long File|src.simapy.sima.riflex.generalcrosssection|../test_projects/simapy/src/simapy/sima/riflex/generalcrosssection.py|LOW|File 'src.simapy.sima.riflex.generalcrosssection' has 318 meaningful lines of code
22|12|Long File|src.simapy.sima.simo.simodynamiccalculationparameters|../test_projects/simapy/src/simapy/sima/simo/simodynamiccalculationparameters.py|LOW|File 'src.simapy.sima.simo.simodynamiccalculationparameters' has 317 meaningful lines of code
23|6|Long File|src.simapy.sima.riflex.coupledaxialtorsionstrainmodel|../test_projects/simapy/src/simapy/sima/riflex/coupledaxialtorsionstrainmodel.py|LOW|File 'src.simapy.sima.riflex.coupledaxialtorsionstrainmodel' has 253 meaningful lines of code
24|11|Long File|src.simapy.sima.windpark.generator|../test_projects/simapy/src/simapy/sima/windpark/generator.py|LOW|File 'src.simapy.sima.windpark.generator' has 275 meaningful lines of code
